run_id,angle_deg,frame_path,same_car_1_7,wheel_match_1_7,body_shape_1_7,major_failure,notes
car_01,0,,,,,,
car_01,45,,,,,,
car_01,90,,,,,,
car_01,135,,,,,,
car_01,180,,,,,,
car_01,225,,,,,,
car_01,270,,,,,,
car_01,315,,,,,,
car_02,0,,,,,,
car_02,45,,,,,,
car_02,90,,,,,,
car_02,135,,,,,,
car_02,180,,,,,,
car_02,225,,,,,,
car_02,270,,,,,,
car_02,315,,,,,,
car_03,0,,,,,,
car_03,45,,,,,,
car_03,90,,,,,,
car_03,135,,,,,,
car_03,180,,,,,,
car_03,225,,,,,,
car_03,270,,,,,,
car_03,315,,,,,,
car_04,0,,,,,,
car_04,45,,,,,,
car_04,90,,,,,,
car_04,135,,,,,,
car_04,180,,,,,,
car_04,225,,,,,,
car_04,270,,,,,,
car_04,315,,,,,,
